Device,HandshakeTime(ms),KeyGenerationTime(ms),EncryptionTime(ms),DecryptionTime(ms)
0x70997970C51812dc3A010C7d01b50e0d17dc79C8,76.65,38.06,32.12,15.12
0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,76.35,42.08,32.31,13.45
0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,78.05,40.71,31.61,12.54
0x90F79bf6EB2c4f870365E785982E1f101E93b906,79.44,41.63,30.40,12.06
0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,80.28,41.98,30.02,11.63
0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,81.60,41.72,30.65,10.41
0x976EA74026E726554dB657fA54763abd0C3a0aa9,83.16,40.96,30.95,9.61
0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,84.92,40.26,30.85,8.96
0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,86.20,39.70,31.00,8.23
0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,88.16,38.80,31.11,7.92
